                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8459,                 3.4109,                 2.6368,                0.71192,                0.67633,                0.73008,                0.32268,                 1.8715,                 1.4541,                 2.9407,                0.07025,              0.0033056,              0.0033056
                      1,                 1.1805,                 1.0571,                 1.9126,                0.66343,                0.69515,                0.67582,                0.29724,                 1.9599,                 1.3969,                  3.261,               0.039593,              0.0059816,              0.0059816
                      2,                 1.1451,                0.96463,                 1.8757,                0.55975,                0.62802,                0.58098,                0.26443,                 1.9665,                 1.7975,                 3.1505,              0.0082755,              0.0079977,              0.0079977
                      3,                 1.1127,                0.92249,                 1.8505,                0.74521,                0.64996,                0.75408,                0.36517,                 1.8123,                 1.3412,                 2.9309,                0.00703,                0.00703,                0.00703
                      4,                 1.0833,                0.86873,                  1.823,                0.61937,                0.57386,                0.58706,                 0.2583,                 2.0363,                 1.6679,                 3.3559,                0.00703,                0.00703,                0.00703
                      5,                 1.0325,                0.84667,                 1.7623,                0.75568,                0.74879,                0.80146,                0.41658,                 1.7578,                 1.0998,                 2.7251,                0.00604,                0.00604,                0.00604
                      6,                 0.9786,                0.72401,                 1.6891,                0.81962,                0.77295,                0.83957,                0.40788,                 1.8016,                 1.1207,                 2.7881,                0.00505,                0.00505,                0.00505
                      7,                0.93287,                 0.6682,                 1.6381,                0.84265,                0.77295,                0.85477,                0.38333,                 1.9324,                 1.0014,                  2.932,                0.00406,                0.00406,                0.00406
                      8,                0.87381,                0.60417,                  1.562,                0.88699,                0.79623,                0.89202,                0.52567,                 1.4926,                0.85118,                 2.2077,                0.00307,                0.00307,                0.00307
                      9,                0.84553,                0.53949,                  1.523,                0.94264,                0.87337,                0.93575,                0.50233,                 1.6495,                0.78211,                 2.4649,                0.00208,                0.00208,                0.00208
