               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099802,            0.034424,            0.027951,           0.0010864,             0.32362,          0.00089778,          0.00024621,             0.10124,            0.017542,            0.031224,            0.070169,           0.0033146,           0.0033146
                   1,            0.090798,            0.026455,            0.025984,            0.024586,            0.038427,            0.003328,           0.0009246,            0.098757,            0.014655,            0.043023,            0.040103,           0.0065821,           0.0065821
                   2,            0.087734,            0.024147,            0.024502,           0.0010352,             0.27313,           0.0015875,          0.00035059,            0.084581,            0.014021,            0.028378,           0.0099709,           0.0097836,           0.0097836
                   3,            0.085227,             0.02359,             0.02205,           0.0022972,             0.27903,           0.0035908,          0.00070465,            0.080617,            0.014787,            0.029386,            0.009703,            0.009703,            0.009703
                   4,            0.083093,            0.023555,            0.019775,            0.001557,             0.42385,           0.0096034,           0.0024092,            0.080097,            0.013956,            0.019862,            0.009703,            0.009703,            0.009703
                   5,            0.079608,            0.024051,            0.018239,            0.027951,             0.22686,            0.025301,           0.0065441,            0.079801,            0.014566,            0.021621,            0.009604,            0.009604,            0.009604
                   6,            0.076175,             0.02491,             0.01665,             0.15368,            0.065155,            0.049173,            0.014801,            0.073955,            0.014966,            0.015997,            0.009505,            0.009505,            0.009505
                   7,            0.073733,            0.024408,            0.015017,             0.23239,            0.090706,            0.046051,            0.012997,            0.071709,            0.014348,            0.015796,            0.009406,            0.009406,            0.009406
                   8,            0.070889,            0.025102,            0.013837,             0.12375,             0.10031,            0.064127,             0.01657,            0.071601,            0.014857,            0.016349,            0.009307,            0.009307,            0.009307
                   9,            0.068301,            0.024868,            0.012276,             0.14971,             0.12059,            0.069765,            0.019807,            0.067264,            0.015585,            0.013713,            0.009208,            0.009208,            0.009208
                  10,            0.065794,            0.024717,            0.011534,             0.20351,             0.15928,            0.092945,            0.027069,            0.067993,             0.01408,            0.011107,            0.009109,            0.009109,            0.009109
                  11,             0.06398,            0.023932,            0.010739,              0.4718,              0.1164,             0.14157,            0.041032,            0.063979,            0.015957,            0.011521,             0.00901,             0.00901,             0.00901
                  12,            0.061933,            0.024349,            0.010096,             0.31803,             0.20784,             0.20546,            0.069476,            0.060092,            0.014405,           0.0078444,            0.008911,            0.008911,            0.008911
                  13,            0.060816,            0.023912,           0.0093742,             0.30483,             0.21728,             0.19062,            0.062973,            0.061565,            0.013989,            0.011383,            0.008812,            0.008812,            0.008812
                  14,             0.05888,            0.023548,           0.0088796,             0.28569,             0.26084,             0.22389,            0.074819,            0.059155,            0.013942,           0.0075192,            0.008713,            0.008713,            0.008713
                  15,            0.057923,            0.023076,           0.0083113,             0.37056,             0.28016,             0.27239,            0.097132,            0.057197,            0.014068,            0.010925,            0.008614,            0.008614,            0.008614
                  16,            0.057196,            0.023153,           0.0078603,             0.37289,             0.29325,             0.27429,            0.097021,             0.05922,            0.013892,           0.0078061,            0.008515,            0.008515,            0.008515
                  17,            0.056002,            0.023071,           0.0075042,             0.42529,             0.33382,              0.3271,             0.13284,            0.053735,            0.013574,           0.0092857,            0.008416,            0.008416,            0.008416
                  18,            0.054412,             0.02291,           0.0065394,             0.35634,             0.29681,             0.26418,            0.091099,            0.059349,            0.013498,           0.0070551,            0.008317,            0.008317,            0.008317
                  19,            0.053948,            0.022485,           0.0062284,             0.56718,             0.38338,             0.42007,             0.14621,            0.055646,            0.012795,           0.0088233,            0.008218,            0.008218,            0.008218
                  20,            0.053376,            0.022297,           0.0067025,             0.53971,             0.36543,             0.40723,             0.16353,            0.053349,            0.012765,           0.0073185,            0.008119,            0.008119,            0.008119
                  21,            0.052097,            0.022248,           0.0060228,             0.45275,             0.34181,             0.37375,              0.1528,            0.053337,            0.012968,            0.010284,             0.00802,             0.00802,             0.00802
                  22,            0.051269,            0.021747,           0.0058758,             0.51898,             0.42578,             0.45932,             0.18201,            0.051877,            0.012088,           0.0062437,            0.007921,            0.007921,            0.007921
                  23,            0.050647,             0.02171,           0.0059568,             0.56365,             0.42952,              0.4906,             0.19745,            0.052099,            0.012149,           0.0096665,            0.007822,            0.007822,            0.007822
                  24,            0.050257,            0.021275,           0.0058677,             0.49039,             0.41516,             0.43985,             0.17023,             0.05093,             0.01216,           0.0062613,            0.007723,            0.007723,            0.007723
                  25,             0.04965,            0.021478,           0.0050381,             0.49908,             0.40928,             0.45745,             0.17423,            0.052317,            0.012305,           0.0060424,            0.007624,            0.007624,            0.007624
                  26,            0.049093,            0.020632,           0.0052752,             0.56586,             0.38988,             0.46145,             0.18811,            0.050365,            0.011885,           0.0048904,            0.007525,            0.007525,            0.007525
                  27,            0.048592,            0.021277,           0.0051992,             0.62677,             0.42993,             0.49315,             0.20897,              0.0508,            0.011681,           0.0059422,            0.007426,            0.007426,            0.007426
                  28,            0.047724,            0.021018,           0.0047697,             0.58165,             0.41843,             0.48376,             0.20642,            0.049092,            0.012029,           0.0045684,            0.007327,            0.007327,            0.007327
                  29,            0.047269,            0.020639,           0.0047889,             0.51945,             0.44254,             0.46713,             0.20501,            0.049136,            0.012119,           0.0038918,            0.007228,            0.007228,            0.007228
                  30,            0.047336,            0.020268,           0.0047432,             0.57014,             0.46069,             0.51089,             0.21093,             0.05054,            0.011406,           0.0040257,            0.007129,            0.007129,            0.007129
                  31,            0.046379,            0.020393,           0.0043905,             0.61185,              0.5221,             0.57151,             0.24908,            0.046379,             0.01161,           0.0039881,             0.00703,             0.00703,             0.00703
                  32,            0.045513,            0.020162,           0.0043118,             0.66975,              0.4872,             0.57351,             0.25464,            0.046895,            0.011482,           0.0037516,            0.006931,            0.006931,            0.006931
                  33,            0.045198,            0.019781,           0.0038845,             0.61844,              0.5583,             0.60156,             0.25993,            0.046935,            0.011402,           0.0034909,            0.006832,            0.006832,            0.006832
                  34,            0.044948,            0.019982,           0.0040154,             0.68623,             0.53563,             0.60416,             0.27646,            0.047203,            0.011239,           0.0049099,            0.006733,            0.006733,            0.006733
                  35,            0.043905,            0.019748,           0.0038229,             0.66944,             0.53872,             0.59625,             0.26342,            0.047011,            0.011148,           0.0030093,            0.006634,            0.006634,            0.006634
                  36,            0.043694,            0.019379,           0.0036203,              0.5922,             0.49814,             0.54312,             0.24297,            0.047714,            0.011589,           0.0049706,            0.006535,            0.006535,            0.006535
                  37,            0.043751,            0.019633,           0.0033426,             0.70114,             0.57932,             0.64312,             0.30429,            0.045178,            0.011122,           0.0049782,            0.006436,            0.006436,            0.006436
                  38,            0.043089,            0.019215,           0.0036305,             0.58166,             0.55049,              0.6003,             0.27603,            0.045057,            0.011084,           0.0040927,            0.006337,            0.006337,            0.006337
                  39,             0.04224,            0.019686,           0.0033335,             0.66696,             0.56637,             0.63744,             0.30081,            0.044679,            0.010878,            0.004079,            0.006238,            0.006238,            0.006238
                  40,             0.04228,            0.019183,           0.0033741,             0.67152,             0.59064,             0.64599,             0.30498,            0.044031,            0.010891,           0.0028443,            0.006139,            0.006139,            0.006139
                  41,            0.041974,            0.018784,            0.003187,             0.71947,             0.60989,             0.67833,             0.32071,            0.043908,            0.010755,           0.0042468,             0.00604,             0.00604,             0.00604
                  42,            0.041696,            0.018872,           0.0037106,             0.66015,             0.53317,             0.61737,             0.29173,            0.044754,            0.011059,           0.0039172,            0.005941,            0.005941,            0.005941
                  43,            0.041179,            0.018792,           0.0032851,             0.68244,             0.57988,             0.63959,             0.32103,            0.043147,            0.010818,           0.0045781,            0.005842,            0.005842,            0.005842
                  44,            0.041003,            0.018819,           0.0031632,             0.67856,             0.59337,             0.64152,             0.31993,            0.043166,            0.011107,           0.0055871,            0.005743,            0.005743,            0.005743
                  45,            0.041228,            0.018774,           0.0037013,             0.72977,             0.61967,             0.68493,             0.31718,            0.043783,            0.010717,           0.0032019,            0.005644,            0.005644,            0.005644
                  46,            0.040247,            0.018533,           0.0029527,             0.73639,             0.60903,             0.69703,             0.33991,            0.042998,            0.010486,           0.0043951,            0.005545,            0.005545,            0.005545
                  47,            0.039985,            0.018434,           0.0032794,             0.70878,             0.62462,             0.68054,             0.33376,            0.043459,            0.010657,           0.0047265,            0.005446,            0.005446,            0.005446
                  48,            0.039685,            0.018167,           0.0031892,              0.7199,             0.64117,             0.68757,             0.34045,            0.042425,            0.010537,           0.0038994,            0.005347,            0.005347,            0.005347
                  49,            0.040082,            0.018219,           0.0029253,             0.70096,              0.6631,             0.70461,             0.35494,             0.04192,            0.010382,           0.0030026,            0.005248,            0.005248,            0.005248
                  50,            0.038585,            0.018183,           0.0027603,             0.66714,             0.63397,             0.68935,             0.35561,             0.04258,            0.010293,           0.0033067,            0.005149,            0.005149,            0.005149
                  51,            0.038733,            0.018091,           0.0027486,             0.71599,             0.60693,             0.69108,             0.34371,            0.042938,            0.010325,           0.0047211,             0.00505,             0.00505,             0.00505
                  52,            0.038453,            0.018107,           0.0028114,              0.7122,             0.63546,             0.69245,             0.35402,            0.041309,            0.010369,           0.0026535,            0.004951,            0.004951,            0.004951
                  53,            0.037828,            0.017466,           0.0024365,             0.72603,             0.64984,             0.70283,             0.35468,            0.041888,            0.010268,           0.0032305,            0.004852,            0.004852,            0.004852
                  54,            0.037896,            0.017652,           0.0025605,             0.73164,             0.63176,             0.69923,             0.35116,            0.042534,             0.01026,           0.0023034,            0.004753,            0.004753,            0.004753
                  55,            0.037678,            0.017224,           0.0027603,             0.74824,             0.64603,             0.71833,             0.36385,            0.042124,            0.010226,           0.0026796,            0.004654,            0.004654,            0.004654
                  56,            0.037629,            0.017245,           0.0028469,             0.71289,             0.64264,             0.69425,             0.36179,            0.042321,            0.010441,           0.0026804,            0.004555,            0.004555,            0.004555
                  57,            0.036954,            0.017454,           0.0026421,             0.73828,             0.67385,             0.71956,             0.37162,            0.041551,            0.010105,           0.0033932,            0.004456,            0.004456,            0.004456
                  58,            0.036333,             0.01711,           0.0025539,             0.73617,             0.65604,             0.70909,             0.37221,            0.042285,            0.010042,           0.0038098,            0.004357,            0.004357,            0.004357
                  59,            0.036814,            0.017259,           0.0027633,             0.72578,             0.61866,             0.68796,              0.3595,             0.04177,            0.010241,           0.0025602,            0.004258,            0.004258,            0.004258
                  60,            0.036411,            0.017155,           0.0022457,             0.71246,             0.62828,             0.69819,             0.36231,            0.041021,             0.01008,            0.002591,            0.004159,            0.004159,            0.004159
                  61,            0.036088,            0.016937,           0.0020873,             0.71216,             0.65141,             0.71742,             0.37799,            0.041295,           0.0099914,           0.0032368,             0.00406,             0.00406,             0.00406
                  62,             0.03576,            0.017011,           0.0020136,             0.70564,             0.64558,             0.70668,              0.3594,            0.041584,            0.010045,           0.0040858,            0.003961,            0.003961,            0.003961
