               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095375,            0.026671,            0.026473,           0.0010691,             0.32118,           0.0012176,            0.000306,            0.088388,            0.014452,            0.027523,            0.070169,           0.0033146,           0.0033146
                   1,            0.084079,            0.024845,            0.023605,            0.035941,            0.068345,            0.015783,           0.0042547,            0.081847,            0.014714,            0.024482,            0.040103,           0.0065821,           0.0065821
                   2,            0.077385,            0.025512,            0.019055,            0.047336,             0.10318,            0.014093,           0.0034624,            0.080384,            0.016667,             0.01884,           0.0099709,           0.0097836,           0.0097836
                   3,            0.073222,            0.024861,            0.015634,            0.058597,             0.12053,            0.039201,            0.010285,            0.073981,             0.01952,            0.020756,            0.009703,            0.009703,            0.009703
                   4,            0.069478,            0.024219,            0.013374,              0.1985,             0.19004,            0.099111,              0.0273,            0.068517,            0.015396,            0.012099,            0.009703,            0.009703,            0.009703
                   5,            0.066387,            0.023919,            0.011341,             0.21835,             0.21457,             0.12352,            0.041313,            0.071139,            0.014669,            0.016877,            0.009604,            0.009604,            0.009604
                   6,            0.062653,            0.024028,            0.010479,             0.28199,             0.28983,             0.22706,            0.081614,            0.061285,            0.014302,            0.010511,            0.009505,            0.009505,            0.009505
                   7,            0.060472,            0.022994,           0.0094618,             0.33776,              0.3291,             0.28422,            0.094235,             0.05878,            0.014275,           0.0091315,            0.009406,            0.009406,            0.009406
                   8,            0.058347,            0.022956,           0.0084694,             0.41607,             0.36304,             0.34519,             0.12508,            0.056593,            0.013444,            0.010193,            0.009307,            0.009307,            0.009307
                   9,            0.057184,            0.022294,            0.007666,             0.52997,             0.37008,             0.40686,             0.15398,            0.056183,            0.013128,           0.0065276,            0.009208,            0.009208,            0.009208
                  10,            0.055355,            0.022018,           0.0075045,             0.44502,              0.3822,             0.36978,             0.14742,            0.056306,            0.013418,           0.0098572,            0.009109,            0.009109,            0.009109
                  11,            0.054498,            0.021404,           0.0073149,             0.50593,             0.41096,             0.44445,             0.17748,            0.054759,            0.012333,           0.0071551,             0.00901,             0.00901,             0.00901
                  12,            0.052372,            0.021546,           0.0069897,             0.50652,             0.42198,             0.44881,             0.18521,            0.052134,            0.012295,           0.0058103,            0.008911,            0.008911,            0.008911
                  13,            0.051948,            0.021162,           0.0062947,             0.56612,             0.50327,             0.51828,              0.2163,            0.052211,            0.012244,           0.0055196,            0.008812,            0.008812,            0.008812
                  14,             0.05071,            0.020746,           0.0060686,             0.59983,             0.47582,             0.51046,              0.2214,            0.050546,            0.012041,           0.0048456,            0.008713,            0.008713,            0.008713
                  15,            0.049999,            0.020506,           0.0061647,             0.61379,              0.5054,             0.56081,             0.23795,            0.050038,            0.011714,            0.005022,            0.008614,            0.008614,            0.008614
                  16,            0.049448,            0.020465,            0.005553,             0.58282,             0.54759,             0.56784,             0.24452,            0.049619,            0.011775,            0.010764,            0.008515,            0.008515,            0.008515
                  17,            0.048783,             0.02042,            0.005167,             0.58818,             0.53665,             0.55595,             0.24472,            0.049483,            0.012016,           0.0055302,            0.008416,            0.008416,            0.008416
                  18,            0.047447,            0.020104,           0.0047962,             0.67507,             0.56787,             0.61099,             0.28838,             0.04657,            0.011315,           0.0061894,            0.008317,            0.008317,            0.008317
                  19,            0.046951,            0.019798,           0.0046653,             0.69742,             0.59772,             0.64572,             0.30751,            0.046547,            0.011351,           0.0051843,            0.008218,            0.008218,            0.008218
                  20,            0.046796,            0.019675,           0.0052844,             0.69618,             0.58951,             0.65297,             0.30232,            0.046864,            0.011142,           0.0054595,            0.008119,            0.008119,            0.008119
                  21,            0.044913,            0.019516,           0.0040075,             0.63973,              0.6137,             0.67055,             0.31394,             0.04518,            0.010968,           0.0038292,             0.00802,             0.00802,             0.00802
                  22,              0.0451,            0.019204,           0.0042613,             0.72987,             0.60153,             0.69148,             0.32914,             0.04408,            0.010825,           0.0034013,            0.007921,            0.007921,            0.007921
                  23,            0.044086,            0.018914,           0.0041305,             0.70111,             0.63779,             0.69252,             0.33876,            0.043465,            0.010788,           0.0051342,            0.007822,            0.007822,            0.007822
                  24,            0.043749,             0.01879,            0.004001,               0.717,             0.59912,             0.66827,             0.32164,            0.044593,            0.010763,           0.0044261,            0.007723,            0.007723,            0.007723
                  25,            0.043518,               0.019,           0.0036403,             0.69934,             0.65618,             0.70972,              0.3393,            0.043606,            0.010494,           0.0034806,            0.007624,            0.007624,            0.007624
                  26,             0.04308,            0.018047,           0.0035914,             0.75634,              0.6254,             0.70043,             0.34987,            0.043609,            0.010589,           0.0030119,            0.007525,            0.007525,            0.007525
                  27,            0.042779,            0.018685,           0.0040916,             0.74311,             0.64412,             0.72973,             0.36229,            0.043137,             0.01031,           0.0024463,            0.007426,            0.007426,            0.007426
                  28,            0.041778,            0.018424,            0.003526,             0.73685,             0.61194,             0.70657,              0.3607,            0.043254,             0.01024,           0.0021471,            0.007327,            0.007327,            0.007327
                  29,             0.04175,            0.018063,           0.0033291,             0.70895,             0.64054,             0.69573,             0.34407,            0.042592,            0.010371,           0.0019654,            0.007228,            0.007228,            0.007228
                  30,            0.041288,            0.017739,           0.0033024,             0.75698,             0.65423,             0.72927,             0.38355,            0.041586,            0.010078,           0.0025141,            0.007129,            0.007129,            0.007129
                  31,             0.04092,            0.017923,           0.0035232,             0.79875,             0.66764,             0.73459,             0.37984,            0.041617,            0.010171,           0.0043922,             0.00703,             0.00703,             0.00703
                  32,            0.040241,            0.017855,           0.0035619,             0.72269,             0.68822,             0.72428,             0.37235,            0.042116,            0.010039,           0.0026598,            0.006931,            0.006931,            0.006931
                  33,            0.040147,            0.017605,           0.0029447,             0.77029,             0.68115,             0.75007,             0.39052,            0.040673,           0.0099932,           0.0021339,            0.006832,            0.006832,            0.006832
                  34,            0.039381,            0.017473,           0.0029156,             0.74249,             0.68754,             0.74395,             0.38519,            0.041542,           0.0097759,           0.0026586,            0.006733,            0.006733,            0.006733
                  35,            0.038835,            0.017284,           0.0028729,             0.78735,             0.68368,             0.75923,             0.40198,            0.040697,           0.0097922,           0.0019191,            0.006634,            0.006634,            0.006634
                  36,            0.038868,            0.017271,           0.0026652,             0.78586,             0.69672,             0.76099,             0.40739,            0.040809,           0.0096306,           0.0026105,            0.006535,            0.006535,            0.006535
                  37,            0.038574,            0.017278,           0.0026347,             0.78712,              0.6932,             0.77038,             0.40924,            0.040487,           0.0098203,           0.0021898,            0.006436,            0.006436,            0.006436
                  38,            0.038086,             0.01694,           0.0024633,             0.76867,             0.69673,             0.75544,             0.38638,             0.04052,           0.0098359,           0.0023418,            0.006337,            0.006337,            0.006337
                  39,            0.037713,            0.017478,            0.002559,             0.76524,              0.7062,             0.74652,             0.39725,            0.041263,           0.0097671,           0.0019182,            0.006238,            0.006238,            0.006238
                  40,            0.037826,            0.016781,           0.0025812,             0.79949,             0.69783,             0.76105,             0.41595,            0.039821,             0.00959,            0.002339,            0.006139,            0.006139,            0.006139
                  41,            0.037167,            0.016672,           0.0025318,             0.78034,             0.70405,             0.77629,             0.42374,            0.040171,           0.0096688,            0.002654,             0.00604,             0.00604,             0.00604
                  42,            0.037312,            0.016644,           0.0026352,             0.76619,              0.7263,             0.77498,             0.41741,            0.040027,            0.009548,           0.0017415,            0.005941,            0.005941,            0.005941
                  43,             0.03639,            0.016498,           0.0024435,             0.76785,             0.73415,             0.76836,              0.4169,             0.04049,           0.0095822,           0.0031959,            0.005842,            0.005842,            0.005842
                  44,             0.03666,            0.016583,           0.0023691,             0.77694,             0.71316,             0.77371,             0.42979,            0.039877,           0.0094832,           0.0043125,            0.005743,            0.005743,            0.005743
                  45,            0.036606,            0.016552,           0.0027685,             0.77936,             0.71946,             0.78009,             0.42612,            0.039363,           0.0094101,           0.0018194,            0.005644,            0.005644,            0.005644
                  46,            0.035916,            0.016378,           0.0022037,              0.7797,             0.75029,             0.79592,             0.44251,            0.039018,           0.0094576,           0.0030746,            0.005545,            0.005545,            0.005545
                  47,            0.035369,            0.016179,           0.0024148,             0.76336,             0.77091,             0.79093,             0.42803,            0.039179,           0.0094756,           0.0021663,            0.005446,            0.005446,            0.005446
                  48,            0.035643,            0.016107,            0.002584,             0.79405,             0.74519,              0.7954,             0.43989,            0.039197,            0.009326,           0.0023582,            0.005347,            0.005347,            0.005347
                  49,            0.035276,            0.016138,           0.0022638,             0.81107,             0.73728,             0.79761,             0.44527,            0.038893,            0.009279,           0.0020621,            0.005248,            0.005248,            0.005248
                  50,            0.034502,            0.015919,           0.0020898,             0.79123,              0.7594,             0.80318,             0.44932,            0.038566,           0.0092505,           0.0020596,            0.005149,            0.005149,            0.005149
                  51,            0.034461,             0.01593,           0.0021457,             0.80309,             0.78148,             0.81921,             0.46293,            0.038933,            0.009129,           0.0020421,             0.00505,             0.00505,             0.00505
                  52,            0.034333,            0.015922,           0.0020946,             0.79975,             0.75699,             0.80232,             0.45605,             0.03861,           0.0091648,           0.0021139,            0.004951,            0.004951,            0.004951
                  53,            0.033965,            0.015503,           0.0018903,             0.78524,             0.77318,             0.81648,             0.45634,            0.037825,           0.0090357,           0.0016984,            0.004852,            0.004852,            0.004852
                  54,            0.033793,            0.015551,           0.0017911,             0.78916,             0.75457,             0.80623,             0.46416,            0.038185,            0.009157,           0.0019762,            0.004753,            0.004753,            0.004753
                  55,            0.033781,            0.015255,           0.0022513,              0.7734,             0.76774,             0.80687,              0.4609,            0.038218,           0.0091419,           0.0020042,            0.004654,            0.004654,            0.004654
                  56,            0.033358,            0.015178,           0.0020904,             0.78283,             0.76834,             0.80655,             0.45445,             0.03848,           0.0091362,           0.0022529,            0.004555,            0.004555,            0.004555
                  57,            0.032955,             0.01533,           0.0017391,             0.81609,             0.75771,             0.81689,              0.4584,            0.038972,           0.0092309,            0.001671,            0.004456,            0.004456,            0.004456
                  58,            0.032687,            0.014875,           0.0017251,             0.81015,             0.76906,             0.82163,             0.47139,            0.038383,           0.0090596,           0.0017746,            0.004357,            0.004357,            0.004357
                  59,            0.032868,            0.015123,           0.0016723,             0.79827,             0.77093,             0.82263,             0.47117,            0.038039,            0.008904,           0.0018937,            0.004258,            0.004258,            0.004258
                  60,            0.032648,            0.015246,           0.0016596,             0.83195,             0.76415,             0.82445,             0.47587,            0.038033,           0.0088169,           0.0019345,            0.004159,            0.004159,            0.004159
                  61,            0.032313,            0.014877,           0.0016688,             0.82134,             0.76261,             0.82949,             0.48097,            0.037991,           0.0088231,           0.0015951,             0.00406,             0.00406,             0.00406
                  62,            0.031988,            0.015117,           0.0017379,             0.83146,             0.78505,             0.82697,             0.48071,            0.038088,            0.008873,           0.0027625,            0.003961,            0.003961,            0.003961
                  63,            0.031592,             0.01458,           0.0015156,              0.8388,             0.77437,             0.82826,             0.48696,            0.037297,           0.0089643,            0.001735,            0.003862,            0.003862,            0.003862
                  64,            0.031399,            0.014764,            0.001627,             0.83274,             0.78225,             0.82536,             0.47586,            0.038125,           0.0089415,            0.002183,            0.003763,            0.003763,            0.003763
                  65,            0.031036,            0.014791,           0.0016903,             0.80829,             0.78122,             0.83064,             0.49301,            0.036725,            0.008802,           0.0019325,            0.003664,            0.003664,            0.003664
                  66,            0.031425,            0.014664,            0.001717,             0.81329,             0.78696,             0.82734,             0.48619,            0.037315,           0.0089918,            0.001899,            0.003565,            0.003565,            0.003565
                  67,            0.030966,            0.014474,           0.0017185,             0.81115,             0.77754,             0.82029,              0.4746,            0.037725,           0.0090092,           0.0017895,            0.003466,            0.003466,            0.003466
                  68,            0.030473,            0.014444,           0.0014345,             0.81119,             0.76787,             0.81715,             0.47319,            0.037631,           0.0089496,           0.0018008,            0.003367,            0.003367,            0.003367
                  69,            0.030406,            0.013977,           0.0014136,             0.83613,             0.77746,             0.83023,             0.48796,            0.037417,           0.0089971,           0.0015554,            0.003268,            0.003268,            0.003268
                  70,            0.030831,            0.014151,            0.001735,             0.84691,             0.75813,             0.82409,             0.48491,            0.037265,           0.0090193,           0.0014813,            0.003169,            0.003169,            0.003169
                  71,            0.030205,              0.0142,           0.0014999,              0.7969,             0.78854,             0.81829,             0.47246,            0.037485,           0.0090615,           0.0012382,             0.00307,             0.00307,             0.00307
                  72,            0.030159,            0.014407,           0.0016125,             0.83389,             0.78573,             0.82918,              0.4839,            0.037203,           0.0089609,           0.0013758,            0.002971,            0.002971,            0.002971
                  73,            0.029975,            0.014122,            0.001569,             0.84296,             0.77829,             0.83117,             0.49156,            0.036946,           0.0090029,           0.0015153,            0.002872,            0.002872,            0.002872
                  74,            0.029658,             0.01401,           0.0012576,             0.81772,             0.79916,              0.8323,             0.48309,            0.037569,           0.0088469,           0.0018507,            0.002773,            0.002773,            0.002773
                  75,            0.029819,            0.014345,            0.001382,             0.84086,             0.77976,             0.83578,             0.50145,              0.0365,            0.008858,           0.0018623,            0.002674,            0.002674,            0.002674
                  76,            0.029517,            0.013824,            0.001291,             0.83188,             0.77861,             0.83872,             0.49659,            0.036379,           0.0088769,           0.0017369,            0.002575,            0.002575,            0.002575
                  77,            0.028942,            0.014357,           0.0014825,              0.8116,             0.80318,             0.83456,             0.49441,            0.036503,           0.0088594,           0.0017272,            0.002476,            0.002476,            0.002476
                  78,             0.02891,            0.013989,           0.0012573,             0.82715,             0.79065,             0.83369,             0.49137,            0.036531,           0.0087974,           0.0016174,            0.002377,            0.002377,            0.002377
                  79,            0.028386,             0.01384,           0.0013984,             0.83537,             0.80192,             0.84235,             0.50139,            0.036698,           0.0087363,           0.0022993,            0.002278,            0.002278,            0.002278
                  80,            0.028562,            0.013796,           0.0014386,             0.83991,             0.77255,             0.83435,             0.49296,            0.036071,           0.0088478,            0.001899,            0.002179,            0.002179,            0.002179
                  81,            0.028109,            0.013403,           0.0010721,             0.81495,             0.79122,             0.83745,             0.49973,             0.03669,           0.0087949,            0.002025,             0.00208,             0.00208,             0.00208
                  82,             0.02804,            0.013408,           0.0011493,             0.85488,             0.78188,             0.84513,             0.50627,            0.036543,           0.0087233,            0.002712,            0.001981,            0.001981,            0.001981
                  83,            0.027643,            0.013297,           0.0011338,             0.82975,             0.79779,              0.8439,             0.50414,            0.035985,            0.008861,           0.0019061,            0.001882,            0.001882,            0.001882
                  84,            0.027923,            0.013297,           0.0012184,             0.86886,                0.79,             0.84768,             0.51134,            0.036226,           0.0087301,           0.0017112,            0.001783,            0.001783,            0.001783
                  85,            0.027434,            0.013059,           0.0012173,              0.8552,             0.80679,             0.84758,             0.50965,            0.036512,            0.008676,           0.0016953,            0.001684,            0.001684,            0.001684
                  86,            0.027008,            0.013295,          0.00098006,             0.84702,             0.80683,             0.85641,             0.51465,            0.036123,           0.0087357,           0.0019331,            0.001585,            0.001585,            0.001585
                  87,            0.027331,            0.013249,          0.00099935,             0.85766,              0.8019,             0.85258,             0.51282,            0.036071,           0.0087027,           0.0014948,            0.001486,            0.001486,            0.001486
                  88,             0.02689,            0.013129,           0.0013351,             0.83506,             0.81006,             0.85684,             0.51648,            0.035454,            0.008693,            0.001608,            0.001387,            0.001387,            0.001387
                  89,             0.02702,            0.013085,           0.0011301,             0.85582,             0.80392,              0.8532,             0.51627,            0.035703,           0.0086697,           0.0015936,            0.001288,            0.001288,            0.001288
                  90,            0.026667,             0.01327,           0.0011902,             0.84607,             0.80345,             0.85258,             0.50576,            0.035565,           0.0086873,           0.0014649,            0.001189,            0.001189,            0.001189
                  91,            0.026211,            0.012988,           0.0010134,             0.84355,             0.81356,             0.85273,             0.51419,            0.035418,           0.0087337,           0.0014891,             0.00109,             0.00109,             0.00109
