                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5298,                 2.4672,                 1.6893,                0.47569,                0.44692,                 0.4228,                0.21443,                 1.8225,                 2.7353,                 2.0897,             0.00055254,             0.00055254,             0.00055254
                      1,                 1.7202,                 2.2379,                 1.8764,                0.50769,                0.37684,                0.34738,                0.16248,                 1.9183,                  2.857,                 2.2525,              0.0010972,              0.0010972,              0.0010972
                      2,                 1.7493,                 2.2355,                 1.9146,                0.41555,                 0.3463,                0.32948,                0.13984,                 1.9655,                 2.7649,                 2.2036,              0.0016309,              0.0016309,              0.0016309
                      3,                 1.7179,                  2.173,                 1.8681,                0.47463,                0.46765,                0.43627,                 0.2033,                 1.8532,                 2.2543,                 2.1624,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.6256,                 2.0242,                  1.807,                0.63534,                0.49279,                0.54487,                0.30077,                 1.6043,                 1.9404,                 1.8586,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5543,                 1.8737,                  1.735,                0.63751,                0.57127,                0.61262,                 0.3206,                  1.653,                 1.6843,                 1.9478,               0.001601,               0.001601,               0.001601
                      6,                 1.5321,                 1.7768,                 1.7048,                0.68796,                0.55026,                0.62047,                0.36081,                 1.4816,                 1.6205,                 1.7448,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4612,                  1.687,                 1.6407,                0.67698,                 0.5461,                0.61276,                0.33147,                 1.6133,                 1.7618,                 1.8596,               0.001568,               0.001568,               0.001568
                      8,                 1.4282,                 1.6489,                 1.6157,                0.72229,                0.59351,                0.66676,                0.38799,                 1.4974,                 1.5405,                 1.7514,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4131,                 1.5967,                 1.6251,                0.72854,                0.62782,                0.70458,                0.41622,                 1.4163,                 1.4256,                 1.6621,               0.001535,               0.001535,               0.001535
