               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09411,            0.029784,            0.026393,           0.0083406,            0.027601,           0.0018687,          0.00042946,            0.094232,            0.012118,            0.028603,            0.070169,           0.0033146,           0.0033146
                   1,            0.082946,            0.025139,             0.02284,           0.0020392,             0.59762,            0.016978,           0.0035018,            0.078586,            0.014423,            0.021377,            0.040103,           0.0065821,           0.0065821
                   2,            0.075662,            0.025852,            0.017709,            0.011228,             0.13972,           0.0063536,           0.0017104,            0.084001,            0.016389,            0.028623,           0.0099709,           0.0097836,           0.0097836
                   3,            0.072017,            0.025059,            0.014592,            0.065724,            0.083944,            0.037178,            0.010669,            0.072121,            0.015822,            0.020401,            0.009703,            0.009703,            0.009703
                   4,            0.068206,             0.02452,            0.012278,              0.5295,            0.078692,            0.018018,            0.005083,            0.074235,              0.0196,            0.025924,            0.009703,            0.009703,            0.009703
                   5,            0.065482,            0.024502,            0.010919,             0.16852,             0.20366,            0.099372,            0.033986,            0.069485,            0.014129,            0.012449,            0.009604,            0.009604,            0.009604
                   6,             0.06203,            0.024668,            0.010123,             0.31417,             0.26798,             0.22948,            0.078223,            0.059401,            0.013785,           0.0089656,            0.009505,            0.009505,            0.009505
                   7,            0.060703,            0.023425,           0.0090589,             0.27704,             0.27843,             0.20214,            0.059359,            0.060908,             0.01344,           0.0073274,            0.009406,            0.009406,            0.009406
                   8,            0.058003,            0.023232,           0.0080852,             0.38436,             0.33887,             0.32549,             0.11474,            0.056487,            0.014254,           0.0098544,            0.009307,            0.009307,            0.009307
                   9,            0.056417,            0.022788,           0.0074796,             0.45683,             0.34244,             0.37364,             0.14182,            0.053965,            0.012541,            0.006094,            0.009208,            0.009208,            0.009208
                  10,            0.054757,             0.02249,           0.0074529,             0.49275,             0.34009,             0.36568,             0.13902,             0.05437,             0.01311,           0.0090914,            0.009109,            0.009109,            0.009109
                  11,            0.054145,            0.021892,           0.0068359,              0.3872,             0.37785,              0.3599,               0.129,            0.054142,            0.012824,           0.0069361,             0.00901,             0.00901,             0.00901
                  12,            0.052371,            0.021961,           0.0067622,             0.54496,             0.41052,              0.4544,             0.18878,            0.050903,            0.012175,           0.0056942,            0.008911,            0.008911,            0.008911
                  13,            0.051532,            0.021492,           0.0061277,             0.58486,              0.4148,             0.46575,             0.20655,            0.049634,             0.01242,             0.00904,            0.008812,            0.008812,            0.008812
                  14,            0.049769,            0.021168,           0.0056154,             0.57886,             0.41862,             0.46645,             0.19503,             0.04939,            0.011925,           0.0053304,            0.008713,            0.008713,            0.008713
                  15,             0.04947,            0.020776,           0.0051099,             0.55279,             0.45578,              0.4997,             0.21849,            0.049916,            0.012095,           0.0051425,            0.008614,            0.008614,            0.008614
                  16,            0.048985,            0.020886,           0.0052785,             0.60734,             0.48829,             0.53883,             0.23946,            0.048708,            0.011757,            0.006778,            0.008515,            0.008515,            0.008515
                  17,            0.047762,            0.020842,           0.0049758,             0.52301,             0.47503,             0.49851,             0.23581,            0.047546,            0.011697,           0.0049784,            0.008416,            0.008416,            0.008416
                  18,            0.046649,            0.020671,            0.004528,             0.66465,             0.50702,             0.58023,             0.27377,            0.045824,            0.011448,           0.0051238,            0.008317,            0.008317,            0.008317
