                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4628,                 3.0128,                 1.6355,                0.45164,                0.43385,                0.38942,                0.18619,                 1.5889,                 2.7802,                 1.8002,             0.00055254,             0.00055254,             0.00055254
                      1,                 1.5945,                 2.5068,                 1.7635,                0.44298,                0.38208,                0.36786,                0.16927,                 1.7892,                 3.0539,                 2.0307,              0.0010972,              0.0010972,              0.0010972
                      2,                 1.6389,                  2.265,                 1.8076,                0.50891,                0.39208,                0.38935,                0.16674,                  1.918,                 2.3574,                  2.138,              0.0016309,              0.0016309,              0.0016309
                      3,                 1.6311,                 2.1279,                 1.8094,                0.53434,                 0.3774,                0.41828,                0.20384,                 1.8449,                  2.295,                 2.1924,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.5913,                 2.0097,                   1.76,                0.57842,                 0.4573,                0.48575,                0.24783,                 1.6839,                   2.09,                 1.9241,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5342,                 1.8819,                 1.6982,                0.55022,                0.46711,                0.47407,                0.25389,                 1.7662,                 2.2701,                 2.0733,               0.001601,               0.001601,               0.001601
                      6,                 1.5023,                  1.805,                 1.6785,                0.71325,                0.53086,                0.62324,                0.35046,                 1.4952,                 1.6261,                 1.7411,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4517,                 1.7068,                 1.6299,                0.73971,                0.55223,                0.64717,                0.37498,                 1.5245,                 1.6025,                 1.7641,               0.001568,               0.001568,               0.001568
                      8,                 1.4068,                 1.6586,                 1.5865,                0.65547,                0.59478,                0.65117,                0.37815,                 1.4781,                 1.6256,                 1.7342,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4142,                 1.5999,                  1.598,                0.70907,                0.66141,                0.70659,                0.42399,                 1.3912,                  1.447,                 1.6614,               0.001535,               0.001535,               0.001535
                     10,                 1.3617,                 1.5383,                 1.5416,                0.69366,                0.66906,                0.69448,                0.40648,                 1.4036,                 1.4196,                 1.6379,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3523,                 1.5108,                 1.5498,                 0.7474,                0.64879,                0.73852,                0.44773,                 1.4022,                 1.3414,                  1.646,               0.001502,               0.001502,               0.001502
                     12,                 1.3474,                 1.4671,                 1.5302,                 0.7162,                0.63515,                 0.6985,                0.42255,                 1.3975,                  1.439,                   1.66,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2948,                 1.4022,                 1.5031,                0.76629,                  0.657,                0.74559,                0.45745,                 1.3396,                 1.2974,                 1.5964,               0.001469,               0.001469,               0.001469
                     14,                 1.3061,                 1.4145,                 1.5152,                0.75896,                0.67809,                0.75509,                0.45757,                 1.3639,                 1.2824,                 1.5931,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2769,                 1.3399,                 1.4767,                0.76314,                 0.6992,                0.76156,                 0.4684,                 1.3366,                 1.2768,                  1.588,               0.001436,               0.001436,               0.001436
                     16,                 1.2678,                 1.3317,                 1.4737,                0.75683,                0.67519,                0.76333,                0.46899,                 1.3703,                 1.2603,                 1.6202,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2353,                  1.275,                  1.445,                0.76651,                 0.7034,                0.77393,                0.48212,                 1.2633,                  1.208,                 1.5362,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2618,                 1.2845,                 1.4491,                0.77553,                0.70401,                  0.768,                0.46549,                 1.3622,                 1.2056,                 1.5824,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2383,                 1.2435,                 1.4398,                0.77872,                0.73543,                0.77905,                0.48968,                 1.2982,                 1.2024,                 1.5431,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.2297,                 1.2316,                  1.434,                0.79525,                0.73115,                0.79052,                0.48764,                 1.2813,                 1.1258,                 1.5255,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2083,                 1.2076,                 1.4231,                0.78712,                0.72323,                0.79574,                0.49428,                 1.3434,                 1.1204,                 1.5656,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1895,                 1.1657,                 1.4015,                 0.7816,                0.74735,                0.79917,                 0.5077,                 1.2947,                 1.0954,                 1.5299,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1794,                  1.156,                 1.3967,                0.79592,                0.70885,                0.78149,                0.49132,                 1.2869,                 1.1367,                 1.5405,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1771,                 1.1509,                 1.3882,                0.80511,                0.74583,                0.80187,                0.51883,                 1.2703,                 1.0505,                 1.5203,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1703,                 1.1281,                 1.3801,                0.80829,                0.73626,                 0.8162,                0.52408,                 1.2823,                  1.039,                  1.525,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1574,                  1.101,                 1.3795,                0.79636,                0.75706,                0.81088,                0.52209,                 1.2409,                 1.0521,                 1.5019,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1416,                 1.0743,                 1.3597,                0.79119,                0.78846,                0.83522,                0.54957,                   1.22,                 0.9817,                 1.4705,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1392,                 1.0811,                 1.3567,                0.80367,                0.76454,                0.81138,                0.52629,                 1.2708,                 1.0441,                  1.503,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1315,                 1.0651,                 1.3526,                0.80832,                0.74933,                0.81956,                0.53582,                 1.2193,                 1.0346,                 1.4624,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1263,                 1.0612,                 1.3526,                0.80856,                0.78314,                0.83035,                0.54663,                 1.2028,                0.97313,                 1.4449,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1186,                 1.0427,                 1.3529,                0.83762,                0.75293,                0.84154,                0.56038,                 1.2163,                0.95262,                 1.4586,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1074,                 1.0155,                 1.3336,                0.86514,                0.76039,                0.83581,                0.54708,                 1.1977,                0.96455,                  1.457,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1098,                 1.0167,                 1.3361,                0.83317,                0.80145,                0.84327,                 0.5514,                 1.2317,                0.95701,                 1.4767,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0745,                0.97268,                 1.3037,                0.80856,                 0.8012,                0.84076,                0.54897,                 1.1907,                0.93391,                 1.4299,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0696,                 0.9697,                 1.3175,                 0.8093,                0.80978,                0.84101,                0.55983,                 1.1954,                 0.9169,                 1.4557,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0793,                 0.9665,                 1.3224,                0.83916,                0.79169,                0.83829,                 0.5585,                 1.2059,                0.93483,                 1.4543,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0653,                0.96452,                 1.3092,                0.82745,                0.76287,                0.82522,                 0.5444,                 1.2061,                 1.0396,                 1.4641,              0.0010729,              0.0010729,              0.0010729
