                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7046,                 2.8192,                 1.9285,                0.07391,                0.30503,                0.04713,                0.01654,                 2.3173,                 19.471,                 3.2045,             0.00055254,             0.00055254,             0.00055254
                      1,                 2.0492,                 2.9084,                 2.2811,                0.07749,                0.22587,                0.02641,                0.00757,                 2.7479,                 13.728,                 3.5726,              0.0010972,              0.0010972,              0.0010972
                      2,                 1.9812,                 2.8453,                 2.2183,                0.26897,                0.27959,                0.18739,                0.08448,                  2.045,                 4.3525,                   2.61,              0.0016309,              0.0016309,              0.0016309
                      3,                 1.8616,                 2.5989,                 2.1095,                0.40391,                 0.2709,                0.24662,                 0.1135,                 2.0773,                 3.0322,                 2.5002,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.7489,                 2.4024,                 2.0297,                0.48051,                0.38424,                0.36989,                0.16857,                 1.8413,                 2.6532,                 2.2836,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6988,                 2.2609,                 1.9599,                0.49823,                 0.3735,                0.38401,                0.20309,                 1.7761,                 2.2753,                 2.1546,               0.001601,               0.001601,               0.001601
                      6,                 1.6093,                 2.1094,                 1.8733,                0.60485,                0.47727,                 0.5303,                0.28774,                 1.6488,                  2.005,                 2.0972,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5573,                 2.0125,                 1.8376,                0.61029,                0.49772,                0.53658,                0.30468,                 1.5541,                 1.9066,                 1.9754,               0.001568,               0.001568,               0.001568
                      8,                 1.5073,                 1.9796,                 1.8032,                0.62865,                0.45986,                0.51708,                0.29271,                  1.582,                 2.1414,                 2.0112,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4923,                 1.8998,                 1.7938,                0.61683,                0.52177,                 0.5636,                0.33493,                 1.4761,                 1.8514,                 1.8866,               0.001535,               0.001535,               0.001535
                     10,                 1.4502,                 1.8436,                 1.7446,                0.70696,                0.53166,                0.60887,                0.36285,                 1.4805,                  1.735,                 1.8811,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4195,                 1.7494,                 1.7325,                0.67543,                0.57019,                0.63585,                0.37786,                 1.4725,                 1.6574,                 1.8615,               0.001502,               0.001502,               0.001502
                     12,                 1.4058,                 1.7021,                 1.7044,                0.66597,                 0.5801,                0.63886,                0.37976,                 1.4606,                 1.6426,                 1.8664,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3654,                   1.66,                 1.6783,                0.69991,                0.60622,                0.68137,                 0.4131,                 1.4291,                 1.5196,                 1.8139,               0.001469,               0.001469,               0.001469
                     14,                 1.3653,                 1.6304,                 1.6787,                0.65973,                0.59315,                0.65935,                0.40169,                 1.3802,                 1.5047,                 1.7854,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3419,                 1.5798,                 1.6492,                0.73821,                 0.5939,                0.69671,                0.41859,                 1.3658,                 1.4488,                 1.7793,               0.001436,               0.001436,               0.001436
                     16,                 1.3116,                 1.5311,                 1.6417,                0.71069,                0.59788,                0.69071,                0.41932,                 1.3819,                 1.4261,                 1.7935,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.292,                   1.52,                 1.6287,                0.72502,                0.65752,                0.71905,                 0.4524,                 1.3209,                 1.3724,                 1.7388,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3043,                 1.4933,                 1.6178,                0.78517,                0.61721,                0.71921,                0.44365,                 1.3478,                 1.4425,                 1.7557,              0.0013864,              0.0013864,              0.0013864
