                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.68332,                 1.0438,                 1.2501,                0.79279,                0.68311,                0.77923,                0.54256,                 1.0558,                 2.1114,                 1.3456,              0.0033289,              0.0033289,              0.0033289
                      1,                0.58149,                0.64401,                 1.1565,                0.74342,                0.61889,                0.70209,                 0.4714,                 1.1397,                    2.8,                 1.4684,              0.0065962,              0.0065962,              0.0065962
                      2,                0.62493,                0.70266,                 1.1869,                0.62603,                0.55235,                0.59755,                0.39565,                 1.2428,                  5.618,                 1.6419,              0.0097976,              0.0097976,              0.0097976
                      3,                0.65597,                0.75873,                 1.2148,                0.65905,                 0.5826,                0.63301,                0.41304,                 1.1641,                 2.9095,                 1.4701,               0.009703,               0.009703,               0.009703
                      4,                0.62545,                0.69846,                  1.189,                0.71992,                 0.6161,                0.68496,                0.48273,                 1.0994,                 3.4215,                 1.4115,               0.009703,               0.009703,               0.009703
                      5,                0.59915,                0.65276,                 1.1675,                0.75899,                0.61796,                 0.7064,                0.48933,                 1.0935,                 2.5937,                 1.4116,               0.009604,               0.009604,               0.009604
                      6,                0.57177,                0.61521,                 1.1462,                0.76596,                0.63507,                0.72798,                0.50048,                 1.1086,                 2.0197,                 1.4121,               0.009505,               0.009505,               0.009505
                      7,                 0.5584,                0.59024,                 1.1352,                0.78258,                0.68823,                0.77345,                0.54564,                 1.0172,                  2.626,                 1.3199,               0.009406,               0.009406,               0.009406
                      8,                0.54831,                 0.5758,                  1.126,                0.82278,                0.70643,                0.80004,                0.56005,                 1.0162,                 2.6615,                 1.3246,               0.009307,               0.009307,               0.009307
                      9,                 0.5393,                0.55066,                 1.1193,                0.82872,                0.71661,                0.80605,                0.57395,                0.98893,                 2.2026,                 1.2951,               0.009208,               0.009208,               0.009208
                     10,                0.53252,                0.53756,                  1.109,                0.81881,                  0.745,                0.82119,                0.58158,                0.99013,                  2.875,                 1.2594,               0.009109,               0.009109,               0.009109
                     11,                 0.5199,                0.51783,                 1.1004,                0.83155,                0.74034,                 0.8273,                0.59175,                0.97935,                 1.9984,                 1.2556,                0.00901,                0.00901,                0.00901
                     12,                0.51836,                0.51086,                 1.0969,                0.86426,                0.74067,                0.83831,                 0.6061,                0.94897,                  1.562,                   1.21,               0.008911,               0.008911,               0.008911
                     13,                0.50284,                0.49437,                 1.0877,                0.83406,                0.74376,                0.84147,                0.61413,                0.91911,                 1.7396,                 1.2006,               0.008812,               0.008812,               0.008812
                     14,                0.49894,                0.48133,                 1.0847,                0.86167,                 0.7329,                0.83992,                0.61141,                0.95226,                 1.9469,                 1.2298,               0.008713,               0.008713,               0.008713
                     15,                0.48947,                0.47153,                 1.0794,                0.83408,                0.76268,                0.84449,                0.61913,                0.94238,                 1.7755,                 1.2382,               0.008614,               0.008614,               0.008614
                     16,                0.49021,                 0.4666,                 1.0741,                0.86246,                0.76361,                0.85765,                0.62731,                0.91711,                 1.4315,                 1.2058,               0.008515,               0.008515,               0.008515
                     17,                0.48424,                0.46175,                 1.0718,                 0.8682,                0.77554,                0.87434,                0.63867,                0.91409,                 1.6009,                 1.1815,               0.008416,               0.008416,               0.008416
                     18,                0.48593,                0.46006,                 1.0732,                0.85805,                0.77071,                0.86693,                0.64119,                0.91297,                 1.4532,                 1.1856,               0.008317,               0.008317,               0.008317
                     19,                0.47785,                 0.4443,                  1.065,                 0.8714,                 0.7662,                0.86767,                0.64352,                0.90108,                  1.288,                 1.1933,               0.008218,               0.008218,               0.008218
                     20,                0.47399,                0.44503,                 1.0658,                0.88071,                0.78328,                0.87757,                0.64751,                0.89736,                 1.2178,                 1.1906,               0.008119,               0.008119,               0.008119
                     21,                0.47544,                 0.4361,                  1.063,                0.87212,                0.80316,                 0.8832,                 0.6567,                0.89385,                 1.2502,                 1.1636,                0.00802,                0.00802,                0.00802
                     22,                0.46908,                 0.4304,                 1.0558,                0.86979,                 0.8134,                0.89005,                0.66432,                0.88795,                 1.2562,                 1.1596,               0.007921,               0.007921,               0.007921
                     23,                0.47061,                0.42206,                 1.0566,                0.89647,                0.81061,                0.89762,                0.67242,                0.88229,                  1.116,                 1.1441,               0.007822,               0.007822,               0.007822
                     24,                0.45484,                0.41384,                 1.0462,                0.88046,                0.82271,                0.90136,                0.67006,                0.86687,                 1.1352,                 1.1536,               0.007723,               0.007723,               0.007723
