                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9911,                 3.4952,                 1.4466,                0.72269,                0.50635,                0.56736,                0.27453,                 1.9451,                 1.8805,                 1.5557,             0.00066468,             0.00066468,             0.00066468
                      1,                 1.9665,                 1.6746,                  1.453,                0.55142,                0.36294,                0.39498,                0.17918,                 2.0147,                 4.0506,                 1.5624,              0.0013182,              0.0013182,              0.0013182
                      2,                 1.9631,                 1.6318,                 1.4523,                0.74127,                0.63706,                0.68498,                0.30638,                 1.9112,                 1.7527,                  1.524,              0.0019584,              0.0019584,              0.0019584
                      3,                 1.8899,                 1.4396,                 1.4109,                0.83515,                0.61718,                0.69409,                0.34686,                 1.8687,                 1.3986,                 1.4997,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.8292,                 1.3192,                 1.3821,                0.84709,                0.71008,                0.78684,                0.38972,                  1.722,                 1.2227,                 1.3956,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7943,                  1.251,                 1.3473,                0.85453,                0.71954,                0.82431,                0.42875,                 1.6939,                 1.0644,                 1.3847,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7634,                 1.1611,                 1.3347,                0.87834,                0.77876,                0.84318,                0.40874,                 1.7742,                 1.0744,                 1.4154,               0.001901,               0.001901,               0.001901
                      7,                 1.7312,                 1.1185,                 1.3211,                0.89315,                0.76777,                0.84989,                0.44513,                 1.6423,                0.98621,                 1.3512,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7336,                 1.1081,                 1.3204,                0.90648,                0.78729,                0.88149,                 0.4615,                 1.6959,                0.89816,                 1.3838,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6796,                 1.0449,                 1.2985,                0.88102,                0.77157,                0.85377,                0.45194,                 1.6387,                0.93771,                  1.351,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6685,                 1.0087,                 1.2928,                0.90244,                0.79822,                0.87852,                0.47134,                 1.6436,                0.91467,                 1.3474,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6388,                0.97439,                  1.271,                0.91435,                 0.7993,                 0.8844,                0.47223,                 1.6456,                0.85906,                  1.355,               0.001802,               0.001802,               0.001802
                     12,                 1.6381,                0.96838,                 1.2734,                0.90414,                0.85533,                0.90849,                0.48616,                 1.6305,                0.86248,                 1.3417,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6239,                0.94517,                 1.2598,                0.88892,                0.85152,                0.90231,                0.47807,                 1.6229,                0.88198,                 1.3464,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5776,                0.90721,                 1.2387,                0.91174,                0.83249,                 0.9068,                0.50035,                 1.6016,                0.81978,                 1.3302,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5912,                0.88746,                 1.2412,                 0.9172,                0.84346,                 0.9038,                0.48862,                 1.6075,                0.83423,                  1.327,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5649,                 0.8673,                 1.2318,                0.91252,                0.86548,                0.91893,                0.50378,                 1.5863,                 0.7831,                 1.3244,               0.001703,               0.001703,               0.001703
                     17,                 1.5466,                0.85055,                 1.2321,                 0.9039,                0.85942,                0.91502,                0.50462,                 1.5845,                0.80365,                   1.31,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5468,                0.84188,                 1.2266,                0.92907,                0.86548,                0.91123,                0.51239,                 1.5753,                0.76513,                 1.3113,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.518,                0.81764,                 1.2157,                0.91623,                0.88071,                0.92457,                0.50145,                 1.6221,                0.78369,                  1.338,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5395,                0.82377,                 1.2171,                 0.9102,                0.86294,                0.91611,                0.50407,                 1.5862,                0.78064,                 1.3135,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5274,                 0.8127,                 1.2182,                 0.9002,                0.84707,                0.91137,                0.51119,                 1.5961,                0.80265,                 1.3151,               0.001604,               0.001604,               0.001604
                     22,                 1.5055,                0.79682,                 1.2018,                0.89888,                0.88579,                0.92384,                0.50839,                 1.6074,                0.74692,                 1.3333,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5111,                0.79819,                 1.2074,                0.89753,                0.88926,                0.92149,                0.51625,                 1.5782,                0.74114,                   1.31,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4901,                0.77221,                 1.1966,                0.91892,                0.87737,                0.93177,                0.51652,                 1.5765,                0.73539,                 1.3046,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4691,                0.75829,                 1.1779,                0.91913,                0.88706,                0.92659,                0.51637,                 1.5796,                0.73373,                 1.3215,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4802,                0.76745,                  1.191,                0.91508,                0.89086,                0.93022,                0.52104,                 1.5592,                0.72027,                 1.3048,               0.001505,               0.001505,               0.001505
                     27,                 1.4624,                 0.7437,                  1.191,                0.94259,                0.87514,                0.93936,                0.53273,                 1.5705,                 0.6951,                 1.3115,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4563,                0.73369,                 1.1749,                0.92857,                0.89467,                0.94242,                0.54131,                  1.568,                0.69167,                 1.3046,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4432,                0.73498,                 1.1778,                0.92021,                0.90744,                0.93766,                0.52969,                 1.5403,                0.70525,                 1.2921,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4468,                0.73661,                 1.1763,                0.93663,                0.88163,                0.93094,                0.51553,                 1.5761,                0.70809,                 1.3093,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4428,                0.71737,                 1.1818,                0.92456,                0.89594,                0.93974,                0.54304,                 1.5454,                0.69994,                 1.2904,               0.001406,               0.001406,               0.001406
                     32,                 1.4446,                0.73135,                 1.1719,                0.91564,                0.92282,                0.93346,                0.52807,                 1.5546,                0.69778,                 1.2974,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4276,                0.71969,                 1.1673,                0.92178,                0.87817,                0.93705,                0.52797,                 1.5931,                0.68955,                   1.32,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4252,                0.70951,                 1.1637,                0.91867,                0.89594,                0.93835,                0.54007,                 1.5405,                0.67816,                 1.2895,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4101,                0.71082,                   1.16,                 0.9059,                0.91625,                0.94076,                0.53178,                 1.5647,                0.70155,                  1.311,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4036,                0.69173,                 1.1572,                  0.912,                0.90753,                0.93466,                 0.5378,                 1.5649,                0.67818,                 1.3015,               0.001307,               0.001307,               0.001307
                     37,                 1.3838,                0.68617,                  1.149,                0.93394,                0.89594,                0.94361,                 0.5369,                 1.5586,                0.66876,                  1.306,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3844,                0.67497,                 1.1464,                0.90839,                 0.9186,                0.94035,                0.54067,                 1.5454,                0.67863,                 1.2956,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3772,                0.66465,                 1.1488,                0.91014,                0.91117,                0.93473,                 0.5305,                 1.5665,                0.68527,                 1.3089,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3844,                0.67247,                 1.1521,                0.91521,                0.90402,                0.93875,                0.54135,                 1.5665,                 0.6728,                 1.3078,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3647,                0.65153,                 1.1361,                0.91255,                0.90355,                0.93722,                0.55263,                 1.5473,                0.64583,                 1.3041,               0.001208,               0.001208,               0.001208
                     42,                  1.347,                0.64928,                 1.1377,                0.91765,                0.91244,                0.93881,                0.54799,                 1.5648,                0.64255,                 1.3095,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3553,                0.65514,                 1.1326,                0.92902,                0.91358,                 0.9495,                0.54456,                 1.5509,                0.63861,                 1.3058,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3495,                0.64557,                 1.1335,                0.92066,                0.91624,                0.94189,                0.54013,                 1.5497,                0.65625,                 1.3014,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3475,                0.64335,                 1.1352,                0.92199,                0.89997,                0.94195,                0.55249,                 1.5492,                0.65027,                 1.3007,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3333,                0.63963,                 1.1298,                0.90677,                0.91751,                0.94017,                0.54449,                 1.5469,                0.66232,                 1.3016,               0.001109,               0.001109,               0.001109
                     47,                 1.2209,                0.58382,                 1.0868,                0.91639,                0.90863,                0.93793,                0.55223,                 1.5659,                0.64691,                 1.3203,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2153,                0.57736,                 1.0769,                0.92743,                0.90819,                0.94132,                0.54882,                   1.57,                0.63448,                 1.3322,              0.0010694,              0.0010694,              0.0010694
